epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1449.07,1.35432,1.06739,1.1578,0.62227,0.45422,0.48926,0.29464,1.26618,0.89079,1.07215,0.0668371,0.000166648,0.000166648
2,2755.27,1.28613,0.96237,1.12167,0.64108,0.4793,0.52134,0.3221,1.20888,0.82349,1.04605,0.033659,0.000321897,0.000321897
3,4032.95,1.25056,0.91828,1.10172,0.6579,0.49411,0.53734,0.33401,1.1844,0.79552,1.02936,0.000437892,0.000434082,0.000434082
4,5490.95,1.22055,0.88396,1.08555,0.66223,0.50369,0.54768,0.34305,1.16617,0.77459,1.01814,0.000361104,0.000361104,0.000361104
5,6765.84,1.19664,0.85654,1.07297,0.66983,0.5077,0.55443,0.34889,1.15285,0.76098,1.00976,0.000275,0.000275,0.000275
6,8076.64,1.17675,0.83364,1.06234,0.66649,0.51347,0.55964,0.35289,1.14389,0.75106,1.00474,0.000188896,0.000188896,0.000188896
7,9349.86,1.16079,0.81719,1.05474,0.6755,0.5152,0.56317,0.35535,1.13882,0.74495,1.00152,0.000115901,0.000115901,0.000115901
8,10624.6,1.14853,0.80359,1.04957,0.67483,0.51695,0.56556,0.35745,1.13555,0.74107,0.99986,6.71271e-05,6.71271e-05,6.71271e-05
